##Databases: BioCyc, Gene Ontology, KEGG DISEASE, OMIM, NHGRI GWAS Catalog, PANTHER, Gene Ontology Slim, Reactome, KEGG PATHWAY
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
head development	Gene Ontology Slim	GO:0060322	8	122	1.53939586096e-07	3.00139901793e-06	F3|CTTNBP2|G6PD|EGFR|MAPK1|PHGDH|ATF5|CDK5RAP1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0060322
response to antibiotic	Gene Ontology	GO:0046677	6	49	1.90108022223e-07	3.66629520032e-06	BCL2L1|SPI1|TP53|CDK2|IL2|UROD	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0046677
response to antibiotic	Gene Ontology Slim	GO:0046677	6	49	1.90108022223e-07	3.66629520032e-06	BCL2L1|SPI1|TP53|CDK2|IL2|UROD	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0046677
kinase activity	Gene Ontology	GO:0016301	10	241	2.55112411832e-07	4.75205455845e-06	CCL3|RPS6KA3|CD40LG|CD4|AKT1|CDK4|TTN|TLR4|CDK5RAP1|NPM1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016301
kinase activity	Gene Ontology Slim	GO:0016301	10	241	2.55112411832e-07	4.75205455845e-06	CCL3|RPS6KA3|CD40LG|CD4|AKT1|CDK4|TTN|TLR4|CDK5RAP1|NPM1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016301
negative regulation of signaling	Gene Ontology	GO:0023057	10	243	2.74423488993e-07	5.04555311239e-06	BCL2L1|DDIT3|RB1|PTGER3|AKT1|CD14|ICAM1|RB1CC1|TLR9|BCL2	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0023057
negative regulation of signaling	Gene Ontology Slim	GO:0023057	10	243	2.74423488993e-07	5.04555311239e-06	BCL2L1|DDIT3|RB1|PTGER3|AKT1|CD14|ICAM1|RB1CC1|TLR9|BCL2	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0023057
purine ribonucleoside triphosphate binding	Gene Ontology	GO:0035639	11	309	2.79618345873e-07	5.10141748242e-06	PRKCA|TUBB4|HSPA8|HSP90B1|KIT|MAPK14|CDK2|ABCB6|RHOA|MX1|DAPK3	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0035639
purine ribonucleoside triphosphate binding	Gene Ontology Slim	GO:0035639	11	309	2.79618345873e-07	5.10141748242e-06	PRKCA|TUBB4|HSPA8|HSP90B1|KIT|MAPK14|CDK2|ABCB6|RHOA|MX1|DAPK3	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0035639
regulation of response to stimulus	Gene Ontology	GO:0048583	27	1923	2.90701867317e-07	5.24275560503e-06	TGFB1|EGFR|ANO1|CD4|IKBKE|NKX2-1|APOD|STAT1|IFNB1|GLI2|PRKCA|MLC1|MAPK8|IRF3|IFNG|PLAT|IL28A|VEGFC|RHOA|NPM1|HPSE|ADAM10|TBK1|CD14|IL5|MAPK1|MAVS	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0048583
regulation of response to stimulus	Gene Ontology Slim	GO:0048583	27	1923	2.90701867317e-07	5.24275560503e-06	TGFB1|EGFR|ANO1|CD4|IKBKE|NKX2-1|APOD|STAT1|IFNB1|GLI2|PRKCA|MLC1|MAPK8|IRF3|IFNG|PLAT|IL28A|VEGFC|RHOA|NPM1|HPSE|ADAM10|TBK1|CD14|IL5|MAPK1|MAVS	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0048583
secretory granule	Gene Ontology	GO:0030141	6	53	2.9105899794e-07	5.24275560503e-06	ITGB2|KNG1|PLAT|SERPINF2|SELP|CD46	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0030141
secretory granule	Gene Ontology Slim	GO:0030141	6	53	2.9105899794e-07	5.24275560503e-06	ITGB2|KNG1|PLAT|SERPINF2|SELP|CD46	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0030141
regulation of gene expression	Gene Ontology	GO:0010468	19	1012	2.94415067735e-07	5.27642357504e-06	NKX2-1|CCL3|DDIT3|IRF7|SMAD4|IFNA2|MAPK8|VIM|PTGER3|HSPA8|MYB|TNF|IL1B|FAS|MAPK1|PTBP1|CD86|AICDA|CD46	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0010468
regulation of gene expression	Gene Ontology Slim	GO:0010468	19	1012	2.94415067735e-07	5.27642357504e-06	NKX2-1|CCL3|DDIT3|IRF7|SMAD4|IFNA2|MAPK8|VIM|PTGER3|HSPA8|MYB|TNF|IL1B|FAS|MAPK1|PTBP1|CD86|AICDA|CD46	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0010468
tube development	Gene Ontology	GO:0035295	11	311	2.97426237479e-07	5.30360303364e-06	IL18|TGFB1|SPI1|PTGS2|PTGER4|IL6|CCL5|GLI2|MAPK3|TNF|IL1B	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0035295
tube development	Gene Ontology Slim	GO:0035295	11	311	2.97426237479e-07	5.30360303364e-06	IL18|TGFB1|SPI1|PTGS2|PTGER4|IL6|CCL5|GLI2|MAPK3|TNF|IL1B	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0035295
RNA metabolic process	Gene Ontology	GO:0016070	22	1342	3.22048665821e-07	5.71394845333e-06	HSPA8|PSMD2|IKBKAP|PTGER3|DDX58|CD86|GLI2|KLF6|MAPK1|ICAM1|NFKB1|MAPK8|MYT1|PABPN1|FEV|GIF|TNF|F11|IRF3|TBP|IL5|ATF6	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016070
RNA metabolic process	Gene Ontology Slim	GO:0016070	22	1342	3.22048665821e-07	5.71394845333e-06	HSPA8|PSMD2|IKBKAP|PTGER3|DDX58|CD86|GLI2|KLF6|MAPK1|ICAM1|NFKB1|MAPK8|MYT1|PABPN1|FEV|GIF|TNF|F11|IRF3|TBP|IL5|ATF6	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016070
cellular anatomical entity	Gene Ontology	GO:0110165	34	2864	3.69487081951e-07	6.47469091507e-06	CRP|HSPA4|NOVA2|CYCS|EPB41|MAPK14|AGT|EGF|MBL2|SPI1|DNTT|CD83|CCL5|IMPDH1|RB1|TTN|ICAM1|MYT1|IL17A|DLD|PCSK5|CD44|PLAT|TNF|SYNE1|SMAD3|HM13|CASP5|TBP|KNG1|FGL2|CTSL1|ATF6|AICDA	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0110165
cellular anatomical entity	Gene Ontology Slim	GO:0110165	34	2864	3.69487081951e-07	6.47469091507e-06	CRP|HSPA4|NOVA2|CYCS|EPB41|MAPK14|AGT|EGF|MBL2|SPI1|DNTT|CD83|CCL5|IMPDH1|RB1|TTN|ICAM1|MYT1|IL17A|DLD|PCSK5|CD44|PLAT|TNF|SYNE1|SMAD3|HM13|CASP5|TBP|KNG1|FGL2|CTSL1|ATF6|AICDA	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0110165
side of membrane	Gene Ontology	GO:0098552	6	57	4.32348411803e-07	7.44751621011e-06	HLA-C|CD80|IL6|CCR5|MS4A1|ANPEP	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0098552
side of membrane	Gene Ontology Slim	GO:0098552	6	57	4.32348411803e-07	7.44751621011e-06	HLA-C|CD80|IL6|CCR5|MS4A1|ANPEP	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0098552
regulation of signal transduction	Gene Ontology	GO:0009966	20	1150	4.61865728915e-07	7.91753883601e-06	CD80|CD44|CCL26|STAT1|SMAD4|FAS|ADAM17|IRF1|CD40|CAV1|SMAD3|CXCR3|CD14|VEGFC|CCR7|IRF7|F10|THPO|NEU1|BCL2	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0009966
regulation of signal transduction	Gene Ontology Slim	GO:0009966	20	1150	4.61865728915e-07	7.91753883601e-06	CD80|CD44|CCL26|STAT1|SMAD4|FAS|ADAM17|IRF1|CD40|CAV1|SMAD3|CXCR3|CD14|VEGFC|CCR7|IRF7|F10|THPO|NEU1|BCL2	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0009966
transcription regulatory region DNA binding	Gene Ontology	GO:0044212	8	144	5.10061816525e-07	8.68083623952e-06	TGFB1|IRF1|DDIT3|IRF7|STAT1|TCF3|RB1|POU5F1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0044212
transcription regulatory region DNA binding	Gene Ontology Slim	GO:0044212	8	144	5.10061816525e-07	8.68083623952e-06	TGFB1|IRF1|DDIT3|IRF7|STAT1|TCF3|RB1|POU5F1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0044212
negative regulation of apoptotic process	Gene Ontology	GO:0043066	9	199	5.13919118808e-07	8.70473505055e-06	TP53|CD27|HSP90B1|SMAD3|GLI2|IL4|IL2|FAIM|TOPORS	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0043066
negative regulation of apoptotic process	Gene Ontology Slim	GO:0043066	9	199	5.13919118808e-07	8.70473505055e-06	TP53|CD27|HSP90B1|SMAD3|GLI2|IL4|IL2|FAIM|TOPORS	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0043066
regulation of protein modification process	Gene Ontology	GO:0031399	13	485	5.3543667177e-07	8.96225014046e-06	CD27|IFNA2|ADAM17|BIRC3|CD40|MAPK14|MAPK1|LTF|ICAM1|FAS|MYC|HRC|CAV1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0031399
regulation of protein modification process	Gene Ontology Slim	GO:0031399	13	485	5.3543667177e-07	8.96225014046e-06	CD27|IFNA2|ADAM17|BIRC3|CD40|MAPK14|MAPK1|LTF|ICAM1|FAS|MYC|HRC|CAV1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0031399
regulation of cellular response to stress	Gene Ontology	GO:0080135	7	99	5.78854433444e-07	9.57606040596e-06	BCL2L1|EGFR|CD27|TNF|IL1A|MYC|NPM1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0080135
regulation of cellular response to stress	Gene Ontology Slim	GO:0080135	7	99	5.78854433444e-07	9.57606040596e-06	BCL2L1|EGFR|CD27|TNF|IL1A|MYC|NPM1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0080135
cellular response to endogenous stimulus	Gene Ontology	GO:0071495	12	409	5.88557999144e-07	9.67552158527e-06	TGFB1|STUB1|PTGER4|FAS|RB1|SMAD3|SMAD4|TNF|POU5F1|ICAM1|PTBP1|CAV1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0071495
cellular response to endogenous stimulus	Gene Ontology Slim	GO:0071495	12	409	5.88557999144e-07	9.67552158527e-06	TGFB1|STUB1|PTGER4|FAS|RB1|SMAD3|SMAD4|TNF|POU5F1|ICAM1|PTBP1|CAV1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0071495
regulation of macromolecule metabolic process	Gene Ontology	GO:0060255	25	1748	5.91654694524e-07	9.67552158527e-06	TGFB1|CD34|BAX|USP7|CCR7|NKX2-1|CAV1|MYB|UNC119|GLI2|MAPK1|FURIN|DAPK3|NOS2|TCF3|TNF|EPCAM|NPM1|ATF6|IRF7|GZMA|TBP|G6PD|ATF5|CDK5RAP1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0060255
regulation of macromolecule metabolic process	Gene Ontology Slim	GO:0060255	25	1748	5.91654694524e-07	9.67552158527e-06	TGFB1|CD34|BAX|USP7|CCR7|NKX2-1|CAV1|MYB|UNC119|GLI2|MAPK1|FURIN|DAPK3|NOS2|TCF3|TNF|EPCAM|NPM1|ATF6|IRF7|GZMA|TBP|G6PD|ATF5|CDK5RAP1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0060255
cellular response to external stimulus	Gene Ontology	GO:0071496	6	61	6.25526125006e-07	1.0043798437e-05	CASP5|TP53|SOD1|AKT1|NFKB1|IL1B	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0071496
cellular response to external stimulus	Gene Ontology Slim	GO:0071496	6	61	6.25526125006e-07	1.0043798437e-05	CASP5|TP53|SOD1|AKT1|NFKB1|IL1B	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0071496
phosphate-containing compound metabolic process	Gene Ontology	GO:0006796	19	1066	6.31376222672e-07	1.00920654331e-05	VEGFC|IL6|ITGB2|ICAM1|TBK1|CAV1|C19orf2|CD27|BAX|MAPK14|MAPK3|CCR5|TLR4|ADAM17|MAVS|NKX2-1|EGF|HRC|ACSBG1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006796
phosphate-containing compound metabolic process	Gene Ontology Slim	GO:0006796	19	1066	6.31376222672e-07	1.00920654331e-05	VEGFC|IL6|ITGB2|ICAM1|TBK1|CAV1|C19orf2|CD27|BAX|MAPK14|MAPK3|CCR5|TLR4|ADAM17|MAVS|NKX2-1|EGF|HRC|ACSBG1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006796
apoptotic process	Gene Ontology	GO:0006915	18	967	6.86746118924e-07	1.09034389396e-05	MADD|IKBKE|IL17A|SOD1|IL10|EGFR|DAPK3|BIRC3|GAPDH|CD40|MAPK14|CTSL1|ADAM17|ATF5|NFKB1|IFNB1|NPM1|TOPORS	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006915
apoptotic process	Gene Ontology Slim	GO:0006915	18	967	6.86746118924e-07	1.09034389396e-05	MADD|IKBKE|IL17A|SOD1|IL10|EGFR|DAPK3|BIRC3|GAPDH|CD40|MAPK14|CTSL1|ADAM17|ATF5|NFKB1|IFNB1|NPM1|TOPORS	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006915
nucleus	Gene Ontology	GO:0005634	20	1182	7.00404510476e-07	1.10496371868e-05	BCL2L1|SMN2|NOS2|SMN1|TCF3|DNTT|STAT1|TBP|IKBKE|PSMD1|PABPN1|CYCS|USP7|ADAM10|MAPK3|RPS6KA3|NOVA2|UROD|MYC|MAPK8	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005634
nucleus	Gene Ontology Slim	GO:0005634	20	1182	7.00404510476e-07	1.10496371868e-05	BCL2L1|SMN2|NOS2|SMN1|TCF3|DNTT|STAT1|TBP|IKBKE|PSMD1|PABPN1|CYCS|USP7|ADAM10|MAPK3|RPS6KA3|NOVA2|UROD|MYC|MAPK8	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005634
regulation of mitochondrial membrane permeability	Gene Ontology	GO:0046902	4	12	7.02182101064e-07	1.10496371868e-05	BCL2L1|TP53|E2F1|BCL2	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0046902
regulation of mitochondrial membrane permeability	Gene Ontology Slim	GO:0046902	4	12	7.02182101064e-07	1.10496371868e-05	BCL2L1|TP53|E2F1|BCL2	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0046902
viral process	Gene Ontology	GO:0016032	10	275	8.12856114965e-07	1.27066957002e-05	TBP|ARF1|RB1|SGTA|OAS1|LTF|ICAM1|PTBP1|APOBEC3G|FURIN	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016032
viral process	Gene Ontology Slim	GO:0016032	10	275	8.12856114965e-07	1.27066957002e-05	TBP|ARF1|RB1|SGTA|OAS1|LTF|ICAM1|PTBP1|APOBEC3G|FURIN	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0016032
bounding membrane of organelle	Gene Ontology	GO:0098588	10	276	8.39009849941e-07	1.30580107567e-05	BCL2L1|TBK1|ANTXR2|HLA-C|ARF1|ABO|IKBKE|TF|EGF|HRC	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0098588
bounding membrane of organelle	Gene Ontology Slim	GO:0098588	10	276	8.39009849941e-07	1.30580107567e-05	BCL2L1|TBK1|ANTXR2|HLA-C|ARF1|ABO|IKBKE|TF|EGF|HRC	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0098588
regulation of intrinsic apoptotic signaling pathway	Gene Ontology	GO:2001242	5	34	9.07174271804e-07	1.40572397533e-05	BCL2L1|AKT1|TP53|BAX|CD44	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:2001242
regulation of intrinsic apoptotic signaling pathway	Gene Ontology Slim	GO:2001242	5	34	9.07174271804e-07	1.40572397533e-05	BCL2L1|AKT1|TP53|BAX|CD44	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:2001242
negative regulation of viral life cycle	Gene Ontology	GO:1903901	4	13	9.14985115396e-07	1.41166290521e-05	OAS1|MAVS|ISG15|LTF	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:1903901
negative regulation of viral life cycle	Gene Ontology Slim	GO:1903901	4	13	9.14985115396e-07	1.41166290521e-05	OAS1|MAVS|ISG15|LTF	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:1903901
receptor ligand activity	Gene Ontology	GO:0048018	6	66	9.61061279737e-07	1.47633158058e-05	CCL2|CCL3|CD40LG|IL17A|IL13|THPO	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0048018
receptor ligand activity	Gene Ontology Slim	GO:0048018	6	66	9.61061279737e-07	1.47633158058e-05	CCL2|CCL3|CD40LG|IL17A|IL13|THPO	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0048018
negative regulation of protein metabolic process	Gene Ontology	GO:0051248	8	158	9.93562544879e-07	1.51641147979e-05	IL10|CD44|DAPK3|EGFR|TLR4|NFKB1|NPM1|FURIN	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0051248
negative regulation of protein metabolic process	Gene Ontology Slim	GO:0051248	8	158	9.93562544879e-07	1.51641147979e-05	IL10|CD44|DAPK3|EGFR|TLR4|NFKB1|NPM1|FURIN	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0051248
maintenance of location	Gene Ontology	GO:0051235	6	68	1.13097763939e-06	1.71141754941e-05	IL6|CRP|CD4|CCR7|CXCL10|CAV1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0051235
maintenance of location	Gene Ontology Slim	GO:0051235	6	68	1.13097763939e-06	1.71141754941e-05	IL6|CRP|CD4|CCR7|CXCL10|CAV1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0051235
DNA-binding transcription factor activity	Gene Ontology	GO:0003700	9	221	1.18578978582e-06	1.78674099999e-05	SPI1|AKT1|TBP|IL5|USP7|GLI2|NR1I2|TNF|KIT	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003700
DNA-binding transcription factor activity	Gene Ontology Slim	GO:0003700	9	221	1.18578978582e-06	1.78674099999e-05	SPI1|AKT1|TBP|IL5|USP7|GLI2|NR1I2|TNF|KIT	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0003700
regulation of cellular biosynthetic process	Gene Ontology	GO:0031326	22	1467	1.36606161953e-06	2.03248203643e-05	CCL5|GAPDH|AKT1|PTGER3|CAV1|CXCR3|SPI1|PTGER4|IFNB1|USF2|MAPK3|MYB|DAPK3|DDIT3|CD40|GIF|POU5F1|E2F1|KIT|NR1I2|AICDA|BCL2	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0031326
regulation of cellular biosynthetic process	Gene Ontology Slim	GO:0031326	22	1467	1.36606161953e-06	2.03248203643e-05	CCL5|GAPDH|AKT1|PTGER3|CAV1|CXCR3|SPI1|PTGER4|IFNB1|USF2|MAPK3|MYB|DAPK3|DDIT3|CD40|GIF|POU5F1|E2F1|KIT|NR1I2|AICDA|BCL2	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0031326
positive regulation of cellular metabolic process	Gene Ontology	GO:0031325	14	630	1.69519906114e-06	2.46533355265e-05	IL6|DDX58|CD40LG|ACE|STAT1|TBP|CD80|CYCS|MAPK14|KLF6|TLR4|CD44|EPCAM|AICDA	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0031325
positive regulation of cellular metabolic process	Gene Ontology Slim	GO:0031325	14	630	1.69519906114e-06	2.46533355265e-05	IL6|DDX58|CD40LG|ACE|STAT1|TBP|CD80|CYCS|MAPK14|KLF6|TLR4|CD44|EPCAM|AICDA	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0031325
proteolysis	Gene Ontology	GO:0006508	11	378	1.88266076242e-06	2.71019136529e-05	FAS|KNG1|HSP90B1|PSMD2|REN|CYCS|CD44|CST3|MYC|EGF|MBL2	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006508
proteolysis	Gene Ontology Slim	GO:0006508	11	378	1.88266076242e-06	2.71019136529e-05	FAS|KNG1|HSP90B1|PSMD2|REN|CYCS|CD44|CST3|MYC|EGF|MBL2	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0006508
regulation of reactive oxygen species metabolic process	Gene Ontology	GO:2000377	5	41	2.10492377512e-06	3.01182339356e-05	GIF|IL4|ITGB2|ICAM1|TNF	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:2000377
regulation of reactive oxygen species metabolic process	Gene Ontology Slim	GO:2000377	5	41	2.10492377512e-06	3.01182339356e-05	GIF|IL4|ITGB2|ICAM1|TNF	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:2000377
negative regulation of programmed cell death	Gene Ontology	GO:0043069	8	176	2.14803616236e-06	3.06116719764e-05	RPS6KA3|CD40LG|CD44|ALB|BAX|SLC25A4|TNF|MYD88	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0043069
negative regulation of programmed cell death	Gene Ontology Slim	GO:0043069	8	176	2.14803616236e-06	3.06116719764e-05	RPS6KA3|CD40LG|CD44|ALB|BAX|SLC25A4|TNF|MYD88	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0043069
viral life cycle	Gene Ontology	GO:0019058	7	122	2.17428422863e-06	3.08617903412e-05	CCR5|CLEC4G|CD86|ANPEP|MX1|IL8|CAV1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0019058
viral life cycle	Gene Ontology Slim	GO:0019058	7	122	2.17428422863e-06	3.08617903412e-05	CCR5|CLEC4G|CD86|ANPEP|MX1|IL8|CAV1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0019058
positive regulation of protein metabolic process	Gene Ontology	GO:0051247	13	574	3.26787614005e-06	4.55640804832e-05	RHOA|CD40LG|SMAD4|CD44|CAV1|THPO|CD4|GIF|IL1A|MAPK8|KIT|EGF|CCL26	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0051247
positive regulation of protein metabolic process	Gene Ontology Slim	GO:0051247	13	574	3.26787614005e-06	4.55640804832e-05	RHOA|CD40LG|SMAD4|CD44|CAV1|THPO|CD4|GIF|IL1A|MAPK8|KIT|EGF|CCL26	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0051247
protein binding	Gene Ontology	GO:0005515	23	1688	3.75494764146e-06	5.19471021665e-05	C19orf2|HSP90B1|SH2D3A|ZMYND10|CCR7|IL1B|PLP2|CXCR3|GLI2|KLF6|PABPN1|SOD1|IL28A|POU5F1|SYNE1|TP53|GZMA|CLEC4G|MXI1|VIM|RUNX3|CDK5RAP1|CFC1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
protein binding	Gene Ontology Slim	GO:0005515	23	1688	3.75494764146e-06	5.19471021665e-05	C19orf2|HSP90B1|SH2D3A|ZMYND10|CCR7|IL1B|PLP2|CXCR3|GLI2|KLF6|PABPN1|SOD1|IL28A|POU5F1|SYNE1|TP53|GZMA|CLEC4G|MXI1|VIM|RUNX3|CDK5RAP1|CFC1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0005515
membrane microdomain	Gene Ontology	GO:0098857	5	47	3.90394827789e-06	5.36944204035e-05	MAPK3|CD14|MLC1|BIRC3|MAPK1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0098857
membrane microdomain	Gene Ontology Slim	GO:0098857	5	47	3.90394827789e-06	5.36944204035e-05	MAPK3|CD14|MLC1|BIRC3|MAPK1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0098857
regulation of programmed cell death	Gene Ontology	GO:0043067	16	882	3.97821062886e-06	5.44917971128e-05	BCL2L1|DDIT3|IRF7|GZMA|E2F1|IL10|C19orf2|GOLPH3|BIRC3|CYCS|IFNB1|CXCR3|AKT1|LTF|ATF5|DAPK3	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0043067
regulation of programmed cell death	Gene Ontology Slim	GO:0043067	16	882	3.97821062886e-06	5.44917971128e-05	BCL2L1|DDIT3|IRF7|GZMA|E2F1|IL10|C19orf2|GOLPH3|BIRC3|CYCS|IFNB1|CXCR3|AKT1|LTF|ATF5|DAPK3	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0043067
plasma membrane bounded cell projection organization	Gene Ontology	GO:0120036	8	193	4.13328219746e-06	5.60877700868e-05	F3|NPTX1|PHGDH|IL6|AKT1|MAPK1|IL2|ZMYND10	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0120036
plasma membrane bounded cell projection organization	Gene Ontology Slim	GO:0120036	8	193	4.13328219746e-06	5.60877700868e-05	F3|NPTX1|PHGDH|IL6|AKT1|MAPK1|IL2|ZMYND10	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0120036
intracellular vesicle	Gene Ontology	GO:0097708	9	261	4.39920907403e-06	5.92890234555e-05	ACE|ANTXR2|CTTNBP2|ALB|RAB3D|MAPK1|IL1B|ANXA13|MLC1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0097708
intracellular vesicle	Gene Ontology Slim	GO:0097708	9	261	4.39920907403e-06	5.92890234555e-05	ACE|ANTXR2|CTTNBP2|ALB|RAB3D|MAPK1|IL1B|ANXA13|MLC1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0097708
regulation of RNA metabolic process	Gene Ontology	GO:0051252	21	1458	4.41096299627e-06	5.92890234555e-05	NKX2-1|CXCR3|PABPN1|TRAF3|TP53|IL17A|TBK1|IL10|E2F1|HSPA8|IRF1|SMAD3|FEV|PRKCA|IL4|MAPK1|IL2|ICAM1|CD40LG|CD86|NPM1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0051252
regulation of RNA metabolic process	Gene Ontology Slim	GO:0051252	21	1458	4.41096299627e-06	5.92890234555e-05	NKX2-1|CXCR3|PABPN1|TRAF3|TP53|IL17A|TBK1|IL10|E2F1|HSPA8|IRF1|SMAD3|FEV|PRKCA|IL4|MAPK1|IL2|ICAM1|CD40LG|CD86|NPM1	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0051252
protein kinase activity	Gene Ontology	GO:0004672	8	195	4.44583218831e-06	5.93468303005e-05	CCL5|CD40|IL6|GIF|TLR4|CXCL10|IL1B|DAPK3	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0004672
protein kinase activity	Gene Ontology Slim	GO:0004672	8	195	4.44583218831e-06	5.93468303005e-05	CCL5|CD40|IL6|GIF|TLR4|CXCL10|IL1B|DAPK3	http://amigo.geneontology.org/cgi-bin/amigo/term_details?term=GO:0004672
