




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-12-09
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20996)	upload_1 (278)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
negative regulation of nitrogen compound metabolic process (GO:0051172)	2408	76	31.88	+	2.38	6.16E-13	3.46E-11
granulocyte activation (GO:0036230)	499	32	6.61	+	4.84	6.65E-13	3.73E-11
primary metabolic process (GO:0044238)	7512	159	99.46	+	1.60	8.30E-13	4.64E-11
response to mechanical stimulus (GO:0009612)	218	22	2.89	+	7.62	9.41E-13	5.24E-11
regulation of kinase activity (GO:0043549)	905	43	11.98	+	3.59	9.44E-13	5.24E-11
regulation of innate immune response (GO:0045088)	445	30	5.89	+	5.09	1.12E-12	6.19E-11
regulation of gene expression (GO:0010468)	4515	113	59.78	+	1.89	1.25E-12	6.87E-11
activation of innate immune response (GO:0002218)	247	23	3.27	+	7.03	1.31E-12	7.19E-11
response to alcohol (GO:0097305)	247	23	3.27	+	7.03	1.31E-12	7.17E-11
negative regulation of protein metabolic process (GO:0051248)	1120	48	14.83	+	3.24	1.36E-12	7.41E-11
activation of immune response (GO:0002253)	616	35	8.16	+	4.29	1.38E-12	7.49E-11
negative regulation of developmental process (GO:0051093)	959	44	12.70	+	3.47	1.54E-12	8.32E-11
cellular response to stress (GO:0033554)	1759	62	23.29	+	2.66	1.68E-12	9.08E-11
cellular response to external stimulus (GO:0071496)	361	27	4.78	+	5.65	1.70E-12	9.16E-11
protein metabolic process (GO:0019538)	4317	109	57.16	+	1.91	1.76E-12	9.41E-11
regulation of symbiosis, encompassing mutualism through parasitism (GO:0043903)	226	22	2.99	+	7.35	1.82E-12	9.74E-11
cytokine production (GO:0001816)	158	19	2.09	+	9.08	2.14E-12	1.14E-10
lymphocyte proliferation (GO:0046651)	82	15	1.09	+	13.82	2.25E-12	1.19E-10
regulation of cellular response to stress (GO:0080135)	737	38	9.76	+	3.89	2.29E-12	1.21E-10
positive regulation of leukocyte migration (GO:0002687)	138	18	1.83	+	9.85	2.39E-12	1.26E-10
vesicle-mediated transport (GO:0016192)	1952	66	25.85	+	2.55	2.41E-12	1.27E-10
regulation of proteolysis (GO:0030162)	739	38	9.78	+	3.88	2.47E-12	1.29E-10
neutrophil mediated immunity (GO:0002446)	493	31	6.53	+	4.75	2.53E-12	1.32E-10
leukocyte cell-cell adhesion (GO:0007159)	53	13	.70	+	18.53	2.70E-12	1.40E-10
neutrophil activation (GO:0042119)	495	31	6.55	+	4.73	2.79E-12	1.45E-10
B cell proliferation (GO:0042100)	41	12	.54	+	22.10	3.24E-12	1.68E-10
positive regulation of chemotaxis (GO:0050921)	141	18	1.87	+	9.64	3.32E-12	1.71E-10
divalent inorganic cation homeostasis (GO:0072507)	499	31	6.61	+	4.69	3.39E-12	1.74E-10
positive regulation of T cell differentiation (GO:0045582)	85	15	1.13	+	13.33	3.56E-12	1.82E-10
positive regulation of receptor signaling pathway via JAK-STAT (GO:0046427)	85	15	1.13	+	13.33	3.56E-12	1.82E-10
T cell activation (GO:0042110)	235	22	3.11	+	7.07	3.72E-12	1.89E-10
positive regulation of production of molecular mediator of immune response (GO:0002702)	103	16	1.36	+	11.73	3.79E-12	1.92E-10
cellular macromolecule metabolic process (GO:0044260)	5092	121	67.42	+	1.79	4.04E-12	2.04E-10
leukocyte degranulation (GO:0043299)	503	31	6.66	+	4.65	4.12E-12	2.08E-10
negative regulation of cellular metabolic process (GO:0031324)	2608	78	34.53	+	2.26	4.26E-12	2.14E-10
regulation of adaptive immune response (GO:0002819)	166	19	2.20	+	8.64	4.71E-12	2.36E-10
negative regulation of viral process (GO:0048525)	105	16	1.39	+	11.51	4.92E-12	2.46E-10
cellular divalent inorganic cation homeostasis (GO:0072503)	478	30	6.33	+	4.74	6.11E-12	3.04E-10
cellular calcium ion homeostasis (GO:0006874)	446	29	5.91	+	4.91	6.27E-12	3.11E-10
phosphorylation (GO:0016310)	1307	51	17.31	+	2.95	7.04E-12	3.48E-10
B cell differentiation (GO:0030183)	108	16	1.43	+	11.19	7.22E-12	3.56E-10
regulation of cytokine biosynthetic process (GO:0042035)	108	16	1.43	+	11.19	7.22E-12	3.55E-10
immune response-regulating signaling pathway (GO:0002764)	584	33	7.73	+	4.27	7.31E-12	3.58E-10
cellular response to chemokine (GO:1990869)	90	15	1.19	+	12.59	7.38E-12	3.60E-10
response to chemokine (GO:1990868)	90	15	1.19	+	12.59	7.38E-12	3.59E-10
myeloid cell activation involved in immune response (GO:0002275)	517	31	6.85	+	4.53	8.00E-12	3.88E-10
cellular response to tumor necrosis factor (GO:0071356)	246	22	3.26	+	6.75	8.56E-12	4.14E-10
cellular developmental process (GO:0048869)	3831	99	50.72	+	1.95	9.16E-12	4.42E-10
negative regulation of macromolecule metabolic process (GO:0010605)	2703	79	35.79	+	2.21	9.50E-12	4.57E-10
regulation of nitric oxide biosynthetic process (GO:0045428)	60	13	.79	+	16.36	1.05E-11	5.03E-10
innate immune response-activating signal transduction (GO:0002758)	223	21	2.95	+	7.11	1.06E-11	5.05E-10
calcium ion homeostasis (GO:0055074)	459	29	6.08	+	4.77	1.21E-11	5.76E-10
regulation of cellular localization (GO:0060341)	821	39	10.87	+	3.59	1.23E-11	5.86E-10
tube development (GO:0035295)	861	40	11.40	+	3.51	1.25E-11	5.94E-10
cell differentiation (GO:0030154)	3738	97	49.49	+	1.96	1.58E-11	7.47E-10
positive regulation of lymphocyte differentiation (GO:0045621)	96	15	1.27	+	11.80	1.68E-11	7.91E-10
regulation of metal ion transport (GO:0010959)	402	27	5.32	+	5.07	1.75E-11	8.21E-10
positive regulation of protein serine/threonine kinase activity (GO:0071902)	341	25	4.52	+	5.54	1.77E-11	8.27E-10
regulation of smooth muscle cell proliferation (GO:0048660)	136	17	1.80	+	9.44	1.82E-11	8.50E-10
regulation of leukocyte mediated immunity (GO:0002703)	205	20	2.71	+	7.37	1.85E-11	8.60E-10
chemokine-mediated signaling pathway (GO:0070098)	80	14	1.06	+	13.22	2.09E-11	9.71E-10
regulation of apoptotic signaling pathway (GO:2001233)	406	27	5.38	+	5.02	2.16E-11	1.00E-09
apoptotic signaling pathway (GO:0097190)	287	23	3.80	+	6.05	2.24E-11	1.03E-09
toll-like receptor signaling pathway (GO:0002224)	99	15	1.31	+	11.44	2.49E-11	1.14E-09
leukocyte chemotaxis (GO:0030595)	140	17	1.85	+	9.17	2.76E-11	1.27E-09
regulation of biosynthetic process (GO:0009889)	4322	106	57.23	+	1.85	2.79E-11	1.28E-09
negative regulation of cell population proliferation (GO:0008285)	690	35	9.14	+	3.83	2.82E-11	1.29E-09
positive regulation of ERK1 and ERK2 cascade (GO:0070374)	211	20	2.79	+	7.16	2.98E-11	1.36E-09
regulation of viral process (GO:0050792)	211	20	2.79	+	7.16	2.98E-11	1.35E-09
pattern recognition receptor signaling pathway (GO:0002221)	120	16	1.59	+	10.07	3.02E-11	1.37E-09
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4094	102	54.21	+	1.88	3.25E-11	1.47E-09
regulation of calcium ion transport (GO:0051924)	265	22	3.51	+	6.27	3.29E-11	1.48E-09
regulation of protein serine/threonine kinase activity (GO:0071900)	514	30	6.81	+	4.41	3.33E-11	1.50E-09
regulation of chemotaxis (GO:0050920)	217	20	2.87	+	6.96	4.75E-11	2.12E-09
regulation of hydrolase activity (GO:0051336)	1294	49	17.13	+	2.86	5.40E-11	2.41E-09
positive regulation of cytokine biosynthetic process (GO:0042108)	70	13	.93	+	14.03	5.73E-11	2.55E-09
blood circulation (GO:0008015)	393	26	5.20	+	5.00	5.76E-11	2.56E-09
cell migration (GO:0016477)	952	41	12.61	+	3.25	6.38E-11	2.82E-09
positive regulation of smooth muscle cell proliferation (GO:0048661)	88	14	1.17	+	12.02	6.50E-11	2.87E-09
regulation of cytokine production involved in immune response (GO:0002718)	89	14	1.18	+	11.88	7.44E-11	3.27E-09
response to type I interferon (GO:0034340)	72	13	.95	+	13.64	7.82E-11	3.43E-09
locomotion (GO:0040011)	1309	49	17.33	+	2.83	7.94E-11	3.48E-09
regulation of type I interferon production (GO:0032479)	129	16	1.71	+	9.37	8.04E-11	3.51E-09
regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002822)	151	17	2.00	+	8.50	8.16E-11	3.55E-09
regulation of reactive oxygen species biosynthetic process (GO:1903426)	90	14	1.19	+	11.75	8.49E-11	3.68E-09
cell population proliferation (GO:0008283)	501	29	6.63	+	4.37	8.73E-11	3.78E-09
cellular response to abiotic stimulus (GO:0071214)	309	23	4.09	+	5.62	8.89E-11	3.83E-09
cellular response to environmental stimulus (GO:0104004)	309	23	4.09	+	5.62	8.89E-11	3.82E-09
regulation of macromolecule biosynthetic process (GO:0010556)	4099	101	54.27	+	1.86	9.02E-11	3.87E-09
circulatory system process (GO:0003013)	402	26	5.32	+	4.88	9.17E-11	3.93E-09
regulation of catabolic process (GO:0009894)	1007	42	13.33	+	3.15	9.42E-11	4.02E-09
regulation of cytosolic calcium ion concentration (GO:0051480)	340	24	4.50	+	5.33	9.47E-11	4.03E-09
regulation of tumor necrosis factor superfamily cytokine production (GO:1903555)	153	17	2.03	+	8.39	9.85E-11	4.18E-09
regulation of cellular catabolic process (GO:0031329)	843	38	11.16	+	3.40	9.97E-11	4.22E-09
response to organonitrogen compound (GO:0010243)	1009	42	13.36	+	3.14	9.99E-11	4.22E-09
interaction with host (GO:0051701)	154	17	2.04	+	8.34	1.08E-10	4.55E-09
response to wounding (GO:0009611)	580	31	7.68	+	4.04	1.24E-10	5.20E-09
immune response-activating signal transduction (GO:0002757)	547	30	7.24	+	4.14	1.40E-10	5.86E-09
viral entry into host cell (GO:0046718)	94	14	1.24	+	11.25	1.42E-10	5.95E-09
regulation of RNA metabolic process (GO:0051252)	3839	96	50.83	+	1.89	1.51E-10	6.28E-09
response to oxygen levels (GO:0070482)	380	25	5.03	+	4.97	1.53E-10	6.37E-09
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3962	98	52.46	+	1.87	1.55E-10	6.44E-09
chemotaxis (GO:0006935)	550	30	7.28	+	4.12	1.58E-10	6.55E-09
regulation of neuron death (GO:1901214)	320	23	4.24	+	5.43	1.70E-10	7.00E-09
taxis (GO:0042330)	552	30	7.31	+	4.10	1.72E-10	7.08E-09
neutrophil degranulation (GO:0043312)	482	28	6.38	+	4.39	1.74E-10	7.15E-09
regulation of ERK1 and ERK2 cascade (GO:0070372)	293	22	3.88	+	5.67	1.98E-10	8.12E-09
positive regulation of inflammatory response (GO:0050729)	138	16	1.83	+	8.76	2.00E-10	8.16E-09
neutrophil activation involved in immune response (GO:0002283)	486	28	6.43	+	4.35	2.08E-10	8.48E-09
regulation of tyrosine phosphorylation of STAT protein (GO:0042509)	79	13	1.05	+	12.43	2.18E-10	8.85E-09
regulation of peptidase activity (GO:0052547)	454	27	6.01	+	4.49	2.30E-10	9.33E-09
positive regulation of cytosolic calcium ion concentration (GO:0007204)	296	22	3.92	+	5.61	2.38E-10	9.60E-09
regulation of leukocyte chemotaxis (GO:0002688)	119	15	1.58	+	9.52	2.58E-10	1.04E-08
regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122)	242	20	3.20	+	6.24	2.86E-10	1.15E-08
negative regulation of signal transduction (GO:0009968)	1272	47	16.84	+	2.79	3.13E-10	1.25E-08
myeloid leukocyte migration (GO:0097529)	122	15	1.62	+	9.29	3.54E-10	1.42E-08
regulation of anatomical structure morphogenesis (GO:0022603)	1098	43	14.54	+	2.96	3.63E-10	1.45E-08
entry into host (GO:0044409)	102	14	1.35	+	10.37	3.76E-10	1.50E-08
entry into host cell (GO:0030260)	102	14	1.35	+	10.37	3.76E-10	1.49E-08
adaptive immune response (GO:0002250)	611	31	8.09	+	3.83	4.17E-10	1.65E-08
regulation of chemokine production (GO:0032642)	84	13	1.11	+	11.69	4.29E-10	1.70E-08
type I interferon signaling pathway (GO:0060337)	67	12	.89	+	13.53	4.60E-10	1.81E-08
cellular response to type I interferon (GO:0071357)	67	12	.89	+	13.53	4.60E-10	1.81E-08
negative regulation of cell cycle (GO:0045786)	578	30	7.65	+	3.92	4.89E-10	1.92E-08
regulation of transcription, DNA-templated (GO:0006355)	3508	89	46.45	+	1.92	4.89E-10	1.91E-08
positive regulation of tyrosine phosphorylation of STAT protein (GO:0042531)	68	12	.90	+	13.33	5.35E-10	2.09E-08
response to hypoxia (GO:0001666)	343	23	4.54	+	5.06	6.06E-10	2.36E-08
regulation of tumor necrosis factor production (GO:0032680)	150	16	1.99	+	8.06	6.13E-10	2.38E-08
response to dsRNA (GO:0043331)	53	11	.70	+	15.68	6.27E-10	2.43E-08
regulation of stress-activated MAPK cascade (GO:0032872)	228	19	3.02	+	6.29	7.10E-10	2.74E-08
regulation of cellular biosynthetic process (GO:0031326)	4243	101	56.18	+	1.80	7.12E-10	2.74E-08
regulation of transcription by RNA polymerase II (GO:0006357)	2258	66	29.90	+	2.21	8.21E-10	3.16E-08
regulation of stress-activated protein kinase signaling cascade (GO:0070302)	231	19	3.06	+	6.21	8.69E-10	3.34E-08
macromolecule modification (GO:0043412)	3309	85	43.81	+	1.94	8.74E-10	3.35E-08
regulation of system process (GO:0044057)	594	30	7.86	+	3.81	9.02E-10	3.44E-08
cell chemotaxis (GO:0060326)	205	18	2.71	+	6.63	9.31E-10	3.55E-08
wound healing (GO:0042060)	487	27	6.45	+	4.19	9.88E-10	3.76E-08
regulation of myeloid cell differentiation (GO:0045637)	233	19	3.09	+	6.16	9.94E-10	3.77E-08
cellular response to endogenous stimulus (GO:0071495)	1228	45	16.26	+	2.77	1.02E-09	3.86E-08
positive regulation of MAP kinase activity (GO:0043406)	262	20	3.47	+	5.77	1.04E-09	3.93E-08
negative regulation of cellular protein metabolic process (GO:0032269)	1051	41	13.92	+	2.95	1.10E-09	4.14E-08
movement of cell or subcellular component (GO:0006928)	1547	52	20.48	+	2.54	1.10E-09	4.13E-08
negative regulation of cell communication (GO:0010648)	1372	48	18.17	+	2.64	1.13E-09	4.24E-08
positive regulation of leukocyte chemotaxis (GO:0002690)	92	13	1.22	+	10.67	1.17E-09	4.38E-08
response to decreased oxygen levels (GO:0036293)	356	23	4.71	+	4.88	1.19E-09	4.45E-08
positive regulation of B cell proliferation (GO:0030890)	42	10	.56	+	17.98	1.21E-09	4.48E-08
negative regulation of signaling (GO:0023057)	1376	48	18.22	+	2.63	1.24E-09	4.60E-08
negative regulation of immune system process (GO:0002683)	458	26	6.06	+	4.29	1.28E-09	4.75E-08
response to nutrient levels (GO:0031667)	531	28	7.03	+	3.98	1.38E-09	5.09E-08
positive regulation of nitric oxide biosynthetic process (GO:0045429)	43	10	.57	+	17.56	1.47E-09	5.41E-08
regulation of vasculature development (GO:1901342)	329	22	4.36	+	5.05	1.52E-09	5.61E-08
positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123)	186	17	2.46	+	6.90	1.57E-09	5.76E-08
localization of cell (GO:0051674)	1067	41	14.13	+	2.90	1.68E-09	6.15E-08
cell motility (GO:0048870)	1067	41	14.13	+	2.90	1.68E-09	6.14E-08
regulation of nucleic acid-templated transcription (GO:1903506)	3574	89	47.32	+	1.88	1.70E-09	6.19E-08
regulation of RNA biosynthetic process (GO:2001141)	3579	89	47.39	+	1.88	1.74E-09	6.32E-08
positive regulation of nitric oxide metabolic process (GO:1904407)	44	10	.58	+	17.16	1.78E-09	6.46E-08
posttranscriptional regulation of gene expression (GO:0010608)	541	28	7.16	+	3.91	2.04E-09	7.38E-08
positive regulation of cellular protein localization (GO:1903829)	335	22	4.44	+	4.96	2.09E-09	7.54E-08
phosphate-containing compound metabolic process (GO:0006796)	2153	63	28.51	+	2.21	2.25E-09	8.12E-08
positive regulation of chemokine production (GO:0032722)	61	11	.81	+	13.62	2.32E-09	8.35E-08
regulation of viral genome replication (GO:0045069)	98	13	1.30	+	10.02	2.35E-09	8.43E-08
regulation of interferon-alpha production (GO:0032647)	32	9	.42	+	21.24	2.37E-09	8.49E-08
cellular protein modification process (GO:0006464)	3089	80	40.90	+	1.96	2.49E-09	8.88E-08
protein modification process (GO:0036211)	3089	80	40.90	+	1.96	2.49E-09	8.86E-08
cellular response to nitrogen compound (GO:1901699)	664	31	8.79	+	3.53	2.79E-09	9.93E-08
regulation of ion transport (GO:0043269)	705	32	9.33	+	3.43	2.92E-09	1.04E-07
regulation of myeloid leukocyte differentiation (GO:0002761)	122	14	1.62	+	8.67	3.13E-09	1.11E-07
regulation of lymphocyte migration (GO:2000401)	63	11	.83	+	13.19	3.14E-09	1.11E-07
regulation of B cell proliferation (GO:0030888)	63	11	.83	+	13.19	3.14E-09	1.11E-07
positive regulation of type I interferon production (GO:0032481)	81	12	1.07	+	11.19	3.18E-09	1.12E-07
cellular response to drug (GO:0035690)	410	24	5.43	+	4.42	3.24E-09	1.14E-07
circulatory system development (GO:0072359)	874	36	11.57	+	3.11	3.30E-09	1.15E-07
positive regulation of ion transport (GO:0043270)	285	20	3.77	+	5.30	4.02E-09	1.41E-07
viral life cycle (GO:0019058)	199	17	2.63	+	6.45	4.04E-09	1.41E-07
negative regulation of multi-organism process (GO:0043901)	227	18	3.01	+	5.99	4.18E-09	1.45E-07
regulation of viral life cycle (GO:1903900)	149	15	1.97	+	7.60	4.40E-09	1.52E-07
regulation of transforming growth factor beta production (GO:0071634)	35	9	.46	+	19.42	4.64E-09	1.61E-07
response to interleukin-1 (GO:0070555)	201	17	2.66	+	6.39	4.65E-09	1.61E-07
response to extracellular stimulus (GO:0009991)	563	28	7.45	+	3.76	4.69E-09	1.62E-07
regulation of response to cytokine stimulus (GO:0060759)	175	16	2.32	+	6.91	4.78E-09	1.64E-07
phosphorus metabolic process (GO:0006793)	2180	63	28.86	+	2.18	4.80E-09	1.65E-07
regulation of immunoglobulin production (GO:0002637)	66	11	.87	+	12.59	4.85E-09	1.66E-07
cellular response to interleukin-1 (GO:0071347)	176	16	2.33	+	6.87	5.15E-09	1.76E-07
positive regulation of NF-kappaB transcription factor activity (GO:0051092)	153	15	2.03	+	7.40	6.12E-09	2.09E-07
regulation of lymphocyte mediated immunity (GO:0002706)	153	15	2.03	+	7.40	6.12E-09	2.08E-07
regulation of endopeptidase activity (GO:0052548)	425	24	5.63	+	4.26	6.29E-09	2.14E-07
regulation of leukocyte apoptotic process (GO:2000106)	87	12	1.15	+	10.42	6.59E-09	2.23E-07
activation of MAPK activity (GO:0000187)	154	15	2.04	+	7.36	6.64E-09	2.24E-07
stress-activated MAPK cascade (GO:0051403)	108	13	1.43	+	9.09	6.84E-09	2.31E-07
regulation of angiogenesis (GO:0045765)	297	20	3.93	+	5.09	7.76E-09	2.61E-07
modification of morphology or physiology of other organism (GO:0035821)	182	16	2.41	+	6.64	8.02E-09	2.69E-07
regulation of oxidoreductase activity (GO:0051341)	110	13	1.46	+	8.93	8.36E-09	2.80E-07
positive regulation of reactive oxygen species biosynthetic process (GO:1903428)	53	10	.70	+	14.25	8.58E-09	2.87E-07
cellular protein metabolic process (GO:0044267)	3717	89	49.22	+	1.81	9.13E-09	3.05E-07
positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557)	90	12	1.19	+	10.07	9.30E-09	3.10E-07
tube morphogenesis (GO:0035239)	662	30	8.77	+	3.42	9.81E-09	3.26E-07
positive regulation of interferon-alpha production (GO:0032727)	26	8	.34	+	23.24	1.04E-08	3.45E-07
protein kinase B signaling (GO:0043491)	39	9	.52	+	17.43	1.05E-08	3.47E-07
positive regulation of leukocyte mediated immunity (GO:0002705)	136	14	1.80	+	7.77	1.12E-08	3.70E-07
astrocyte differentiation (GO:0048708)	55	10	.73	+	13.73	1.17E-08	3.87E-07
proteolysis (GO:0006508)	1287	44	17.04	+	2.58	1.21E-08	3.98E-07
regulation of epithelial cell proliferation (GO:0050678)	338	21	4.48	+	4.69	1.23E-08	4.02E-07
granulocyte migration (GO:0097530)	93	12	1.23	+	9.75	1.30E-08	4.25E-07
regulation of T cell proliferation (GO:0042129)	163	15	2.16	+	6.95	1.35E-08	4.40E-07
regulation of MAP kinase activity (GO:0043405)	340	21	4.50	+	4.66	1.35E-08	4.40E-07
positive regulation of vasculature development (GO:1904018)	190	16	2.52	+	6.36	1.41E-08	4.59E-07
regulation of interleukin-12 production (GO:0032655)	57	10	.75	+	13.25	1.59E-08	5.17E-07
positive regulation of myeloid cell differentiation (GO:0045639)	96	12	1.27	+	9.44	1.79E-08	5.81E-07
regulation of interleukin-8 production (GO:0032677)	76	11	1.01	+	10.93	1.81E-08	5.86E-07
response to reactive oxygen species (GO:0000302)	194	16	2.57	+	6.23	1.85E-08	5.98E-07
positive regulation of T cell proliferation (GO:0042102)	97	12	1.28	+	9.34	1.99E-08	6.41E-07
extrinsic apoptotic signaling pathway (GO:0097191)	97	12	1.28	+	9.34	1.99E-08	6.40E-07
TRIF-dependent toll-like receptor signaling pathway (GO:0035666)	29	8	.38	+	20.83	2.14E-08	6.86E-07
stress-activated protein kinase signaling cascade (GO:0031098)	144	14	1.91	+	7.34	2.18E-08	6.99E-07
gliogenesis (GO:0042063)	225	17	2.98	+	5.71	2.21E-08	7.08E-07
positive regulation of angiogenesis (GO:0045766)	170	15	2.25	+	6.66	2.27E-08	7.23E-07
regulation of tissue remodeling (GO:0034103)	78	11	1.03	+	10.65	2.31E-08	7.35E-07
regulation of lipid localization (GO:1905952)	145	14	1.92	+	7.29	2.37E-08	7.52E-07
negative regulation of molecular function (GO:0044092)	1177	41	15.58	+	2.63	2.48E-08	7.87E-07
ERK1 and ERK2 cascade (GO:0070371)	30	8	.40	+	20.14	2.68E-08	8.47E-07
response to oxidative stress (GO:0006979)	390	22	5.16	+	4.26	2.81E-08	8.89E-07
blood vessel development (GO:0001568)	499	25	6.61	+	3.78	2.86E-08	9.03E-07
glial cell differentiation (GO:0010001)	174	15	2.30	+	6.51	3.02E-08	9.50E-07
positive regulation of transforming growth factor beta production (GO:0071636)	19	7	.25	+	27.83	3.21E-08	1.01E-06
regulation of blood coagulation (GO:0030193)	81	11	1.07	+	10.26	3.28E-08	1.03E-06
response to inorganic substance (GO:0010035)	541	26	7.16	+	3.63	3.31E-08	1.04E-06
response to exogenous dsRNA (GO:0043330)	46	9	.61	+	14.78	3.67E-08	1.15E-06
regulation of hemostasis (GO:1900046)	82	11	1.09	+	10.13	3.68E-08	1.15E-06
negative regulation of viral genome replication (GO:0045071)	63	10	.83	+	11.99	3.72E-08	1.16E-06
positive regulation of proteolysis (GO:0045862)	363	21	4.81	+	4.37	3.91E-08	1.21E-06
positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002824)	104	12	1.38	+	8.71	4.03E-08	1.25E-06
MyD88-independent toll-like receptor signaling pathway (GO:0002756)	32	8	.42	+	18.88	4.12E-08	1.27E-06
neutrophil migration (GO:1990266)	83	11	1.10	+	10.01	4.12E-08	1.27E-06
regulation of cellular component biogenesis (GO:0044087)	971	36	12.86	+	2.80	4.43E-08	1.36E-06
activation of protein kinase activity (GO:0032147)	332	20	4.40	+	4.55	4.46E-08	1.37E-06
positive regulation of interferon-beta production (GO:0032728)	33	8	.44	+	18.31	5.06E-08	1.55E-06
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	270	18	3.57	+	5.04	5.12E-08	1.57E-06
regulation of JNK cascade (GO:0046328)	182	15	2.41	+	6.22	5.24E-08	1.60E-06
regulation of cellular protein localization (GO:1903827)	556	26	7.36	+	3.53	5.57E-08	1.70E-06
regulation of coagulation (GO:0050818)	86	11	1.14	+	9.66	5.73E-08	1.75E-06
negative regulation of viral life cycle (GO:1903901)	86	11	1.14	+	9.66	5.73E-08	1.74E-06
vasculature development (GO:0001944)	521	25	6.90	+	3.62	6.34E-08	1.92E-06
regulation of blood pressure (GO:0008217)	185	15	2.45	+	6.12	6.41E-08	1.94E-06
cell-cell signaling (GO:0007267)	1125	39	14.90	+	2.62	6.43E-08	1.94E-06
lymphocyte activation involved in immune response (GO:0002285)	109	12	1.44	+	8.31	6.46E-08	1.95E-06
positive regulation of adaptive immune response (GO:0002821)	109	12	1.44	+	8.31	6.46E-08	1.95E-06
regulation of cell cycle (GO:0051726)	1247	42	16.51	+	2.54	6.62E-08	1.99E-06
positive regulation of cellular component organization (GO:0051130)	1247	42	16.51	+	2.54	6.62E-08	1.99E-06
heterocycle biosynthetic process (GO:0018130)	1174	40	15.54	+	2.57	6.68E-08	2.00E-06
regulation of extrinsic apoptotic signaling pathway (GO:2001236)	159	14	2.11	+	6.65	6.88E-08	2.05E-06
regulation of cysteine-type endopeptidase activity (GO:2000116)	245	17	3.24	+	5.24	7.07E-08	2.11E-06
modification of morphology or physiology of other organism involved in symbiotic interaction (GO:0051817)	110	12	1.46	+	8.24	7.09E-08	2.11E-06
anatomical structure formation involved in morphogenesis (GO:0048646)	900	34	11.92	+	2.85	7.09E-08	2.11E-06
positive regulation of tumor necrosis factor production (GO:0032760)	88	11	1.17	+	9.44	7.10E-08	2.10E-06
negative regulation of cell adhesion (GO:0007162)	277	18	3.67	+	4.91	7.37E-08	2.18E-06
positive regulation of interleukin-6 secretion (GO:2000778)	35	8	.46	+	17.26	7.50E-08	2.22E-06
regulation of interferon-beta production (GO:0032648)	51	9	.68	+	13.33	8.06E-08	2.38E-06
regulation of gap junction assembly (GO:1903596)	5	5	.07	+	75.53	8.78E-08	2.58E-06
cardiovascular system development (GO:0072358)	531	25	7.03	+	3.56	8.98E-08	2.64E-06
positive regulation of nucleocytoplasmic transport (GO:0046824)	70	10	.93	+	10.79	9.09E-08	2.67E-06
regulation of blood vessel diameter (GO:0097746)	137	13	1.81	+	7.17	9.10E-08	2.66E-06
regulation of tube diameter (GO:0035296)	137	13	1.81	+	7.17	9.10E-08	2.66E-06
T cell differentiation (GO:0030217)	137	13	1.81	+	7.17	9.10E-08	2.66E-06
cellular response to dsRNA (GO:0071359)	23	7	.30	+	22.99	9.50E-08	2.76E-06
regulation of cytokine-mediated signaling pathway (GO:0001959)	164	14	2.17	+	6.45	9.82E-08	2.85E-06
regulation of tube size (GO:0035150)	138	13	1.83	+	7.11	9.85E-08	2.86E-06
negative regulation of catabolic process (GO:0009895)	316	19	4.18	+	4.54	1.00E-07	2.91E-06
regulation of body fluid levels (GO:0050878)	497	24	6.58	+	3.65	1.05E-07	3.04E-06
regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281)	222	16	2.94	+	5.44	1.06E-07	3.07E-06
positive regulation of interleukin-12 production (GO:0032735)	37	8	.49	+	16.33	1.09E-07	3.14E-06
astrocyte development (GO:0014002)	37	8	.49	+	16.33	1.09E-07	3.13E-06
interferon-gamma-mediated signaling pathway (GO:0060333)	72	10	.95	+	10.49	1.15E-07	3.31E-06
lymphocyte migration (GO:0072676)	72	10	.95	+	10.49	1.15E-07	3.31E-06
response to hormone (GO:0009725)	920	34	12.18	+	2.79	1.17E-07	3.35E-06
regulation of systemic arterial blood pressure by renin-angiotensin (GO:0003081)	24	7	.32	+	22.03	1.21E-07	3.46E-06
regulation of protein kinase B signaling (GO:0051896)	225	16	2.98	+	5.37	1.26E-07	3.60E-06
I-kappaB kinase/NF-kappaB signaling (GO:0007249)	73	10	.97	+	10.35	1.30E-07	3.69E-06
positive regulation of interleukin-6 production (GO:0032755)	94	11	1.24	+	8.84	1.31E-07	3.72E-06
vascular process in circulatory system (GO:0003018)	169	14	2.24	+	6.26	1.39E-07	3.93E-06
