##Databases: PANTHER, KEGG PATHWAY, Reactome, BioCyc
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Ras Pathway	PANTHER	P04393	8	70	6.3585469934e-12	4.61521026806e-11	RPS6KA3|STAT1|AKT1|MAPK14|MAPK3|MAPK1|MAPK8|RHOA	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P04393
Prolactin signaling pathway	KEGG PATHWAY	hsa04917	8	70	6.3585469934e-12	4.61521026806e-11	IRF1|STAT1|AKT1|MAPK14|MAPK3|MAPK1|NFKB1|MAPK8	http://www.genome.jp/kegg-bin/show_pathway?hsa04917/hsa:5595%09red/hsa:5594%09red/hsa:6772%09red/hsa:1432%09red/hsa:5599%09red/hsa:3659%09red/hsa:4790%09red/hsa:207%09red
Epithelial cell signaling in Helicobacter pylori infection	KEGG PATHWAY	hsa05120	8	70	6.3585469934e-12	4.61521026806e-11	ADAM10|CCL5|EGFR|MAPK14|ADAM17|NFKB1|MAPK8|IL8	http://www.genome.jp/kegg-bin/show_pathway?hsa05120/hsa:1432%09red/hsa:6868%09red/hsa:5599%09red/hsa:3576%09red/hsa:4790%09red/hsa:102%09red/hsa:1956%09red/hsa:6352%09red
EGF receptor signaling pathway	PANTHER	P00018	9	114	6.49310781945e-12	4.68187248034e-11	STAT1|AKT1|PRKCA|EGFR|MAPK14|MAPK3|MAPK1|MAPK8|EGF	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00018
p53 signaling pathway	KEGG PATHWAY	hsa04115	8	72	7.83366972806e-12	5.61156994899e-11	BCL2L1|TP53|FAS|BAX|CDK2|CDK4|CYCS|BCL2	http://www.genome.jp/kegg-bin/show_pathway?hsa04115/hsa:598%09red/hsa:596%09red/hsa:581%09red/hsa:7157%09red/hsa:1019%09red/hsa:355%09red/hsa:54205%09red/hsa:1017%09red
Cyclin E associated events during G1/S transition 	Reactome	R-HSA-69202	8	82	2.05848925372e-11	1.46500274161e-10	E2F1|PSMD1|RB1|PSMD2|AKT1|CDK2|CDK4|MYC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69202
Cyclin A:Cdk2-associated events at S phase entry	Reactome	R-HSA-69656	8	84	2.46321149979e-11	1.74172890565e-10	E2F1|PSMD1|RB1|PSMD2|AKT1|CDK2|CDK4|MYC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69656
ErbB signaling pathway	KEGG PATHWAY	hsa04012	8	85	2.69033500751e-11	1.89013280015e-10	AKT1|PRKCA|MAPK8|EGFR|MAPK3|MAPK1|MYC|EGF	http://www.genome.jp/kegg-bin/show_pathway?hsa04012/hsa:5578%09red/hsa:5595%09red/hsa:5594%09red/hsa:5599%09red/hsa:1950%09red/hsa:1956%09red/hsa:4609%09red/hsa:207%09red
Focal adhesion	KEGG PATHWAY	hsa04510	10	199	2.91560792963e-11	2.0353543254e-10	AKT1|RHOA|BIRC3|EGFR|MAPK3|MAPK1|PRKCA|MAPK8|EGF|BCL2	http://www.genome.jp/kegg-bin/show_pathway?hsa04510/hsa:5578%09red/hsa:5595%09red/hsa:5594%09red/hsa:596%09red/hsa:5599%09red/hsa:1950%09red/hsa:1956%09red/hsa:330%09red/hsa:207%09red/hsa:387%09red
Other interleukin signaling	Reactome	R-HSA-449836	11	275	3.02129024579e-11	2.09578108189e-10	EGFR|KIT|PSMD1|PSMD2|CD4|MAPK3|IL5|IL2|MAPK1|TLR9|EGF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-449836
MAPK family signaling cascades	Reactome	R-HSA-5683057	11	278	3.37786001119e-11	2.32838652344e-10	EGFR|PSMD1|KIT|IL6|MAPK3|IL5|IL2|MAPK1|MYC|PSMD2|EGF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5683057
Interferon gamma signaling	Reactome	R-HSA-877300	8	90	4.12094891297e-11	2.82285000538e-10	IRF3|IRF1|IRF7|IFNG|CD44|OAS1|HLA-C|ICAM1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-877300
Estrogen-dependent nuclear events downstream of ESR-membrane signaling	Reactome	R-HSA-9634638	6	24	4.39755468656e-11	2.99361486737e-10	AKT1|EGFR|MAPK3|MAPK1|EGF|BCL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9634638
Rap1 signaling pathway	KEGG PATHWAY	hsa04015	10	210	4.82965134814e-11	3.26746782566e-10	ITGB2|AKT1|PRKCA|EGFR|KIT|MAPK14|MAPK3|MAPK1|RHOA|EGF	http://www.genome.jp/kegg-bin/show_pathway?hsa04015/hsa:3689%09red/hsa:5578%09red/hsa:5595%09red/hsa:5594%09red/hsa:3815%09red/hsa:1432%09red/hsa:1950%09red/hsa:1956%09red/hsa:207%09red/hsa:387%09red
Cell adhesion molecules (CAMs)	KEGG PATHWAY	hsa04514	9	146	5.23941341307e-11	3.52294300658e-10	ITGB2|CD40LG|HLA-C|CD80|CD40|CD86|CD4|ICAM3|ICAM1	http://www.genome.jp/kegg-bin/show_pathway?hsa04514/hsa:3689%09red/hsa:3385%09red/hsa:941%09red/hsa:942%09red/hsa:3383%09red/hsa:959%09red/hsa:958%09red/hsa:920%09red/hsa:3107%09red
TGF-beta signaling pathway	KEGG PATHWAY	hsa04350	8	94	5.70264906026e-11	3.81103864027e-10	TGFB1|IFNG|SMAD3|MAPK3|TNF|MAPK1|MYC|RHOA	http://www.genome.jp/kegg-bin/show_pathway?hsa04350/hsa:5595%09red/hsa:5594%09red/hsa:3458%09red/hsa:7124%09red/hsa:4088%09red/hsa:7040%09red/hsa:4609%09red/hsa:387%09red
@@TGF-beta signaling pathway	PANTHER	P00052	5	91	2.00450912387e-06	7.44726101613e-06	MAPK14|MAPK3|MAPK8|MAPK1|SMAD3	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00052
Interferon-gamma signaling pathway	PANTHER	P00035	6	28	9.89233968914e-11	6.57091169654e-10	STAT1|IFNG|MAPK14|MAPK3|MAPK1|MAPK8	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00035
MAPK1/MAPK3 signaling	Reactome	R-HSA-5684996	10	239	1.62249613034e-10	1.07123840895e-09	PSMD1|EGFR|KIT|IL6|MAPK3|IL5|IL2|MAPK1|PSMD2|EGF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5684996
Alzheimer disease-amyloid secretase pathway	PANTHER	P00003	7	63	1.6599910477e-10	1.08943125047e-09	ADAM10|PRKCA|MAPK14|MAPK3|MAPK1|ADAM17|MAPK8	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00003
Acute myeloid leukemia	KEGG PATHWAY	hsa05221	7	66	2.24450261406e-10	1.46427075298e-09	AKT1|KIT|MAPK3|CD14|MAPK1|NFKB1|MYC	http://www.genome.jp/kegg-bin/show_pathway?hsa05221/hsa:5595%09red/hsa:5594%09red/hsa:3815%09red/hsa:4790%09red/hsa:4609%09red/hsa:929%09red/hsa:207%09red
TICAM1-dependent activation of IRF3/IRF7	Reactome	R-HSA-9013973	5	12	2.31757026127e-10	1.50299231145e-09	IRF3|TRAF3|IRF7|TBK1|IKBKE	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9013973
Apoptosis - multiple species	KEGG PATHWAY	hsa04215	6	33	2.37929323987e-10	1.52497391281e-09	BCL2L1|BIRC3|CYCS|BAX|MAPK8|BCL2	http://www.genome.jp/kegg-bin/show_pathway?hsa04215/hsa:598%09red/hsa:596%09red/hsa:581%09red/hsa:5599%09red/hsa:54205%09red/hsa:330%09red
Oncogene Induced Senescence	Reactome	R-HSA-2559585	6	33	2.37929323987e-10	1.52497391281e-09	TP53|E2F1|RB1|MAPK3|MAPK1|CDK4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2559585
Axon guidance	Reactome	R-HSA-422475	13	549	2.45355831824e-10	1.56343018418e-09	ADAM10|RPS6KA3|PRKCA|EGFR|TUBB4|HSPA8|PSMD1|PSMD2|MAPK14|MAPK3|MAPK1|MAPK8|RHOA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-422475
@@Axon guidance	KEGG PATHWAY	hsa04360	4	181	0.000660654976089	0.00138712232527	PRKCA|MAPK3|RHOA|MAPK1	http://www.genome.jp/kegg-bin/show_pathway?hsa04360/hsa:5578%09red/hsa:5595%09red/hsa:5594%09red/hsa:387%09red
FLT3 Signaling	Reactome	R-HSA-9607240	10	252	2.66240779596e-10	1.68670459212e-09	IL2|EGFR|PSMD1|KIT|MAPK3|IL5|PSMD2|MAPK1|TLR9|EGF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9607240
Shigellosis	KEGG PATHWAY	hsa05131	7	68	2.72471689229e-10	1.71625845629e-09	CD44|MAPK14|MAPK3|MAPK1|NFKB1|MAPK8|IL8	http://www.genome.jp/kegg-bin/show_pathway?hsa05131/hsa:1432%09red/hsa:5594%09red/hsa:5595%09red/hsa:5599%09red/hsa:3576%09red/hsa:4790%09red/hsa:960%09red
Central carbon metabolism in cancer	KEGG PATHWAY	hsa05230	7	69	2.99593164611e-10	1.87630919094e-09	TP53|AKT1|EGFR|KIT|MAPK3|MAPK1|MYC	http://www.genome.jp/kegg-bin/show_pathway?hsa05230/hsa:5595%09red/hsa:5594%09red/hsa:3815%09red/hsa:7157%09red/hsa:1956%09red/hsa:4609%09red/hsa:207%09red
Platelet activation, signaling and aggregation	Reactome	R-HSA-76002	10	260	3.56498315004e-10	2.22001223435e-09	TGFB1|MAPK3|PRKCA|SOD1|MAPK14|AKT1|MAPK1|RHOA|EGF|PPIA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-76002
Interleukin-17 signaling	Reactome	R-HSA-448424	7	72	3.95178706595e-10	2.44698227361e-09	RPS6KA3|IL17A|MAPK14|MAPK3|MAPK1|NFKB1|MAPK8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-448424
Cell cycle	KEGG PATHWAY	hsa04110	8	124	4.543835823e-10	2.78214752068e-09	TGFB1|TP53|E2F1|RB1|SMAD3|CDK2|CDK4|MYC	http://www.genome.jp/kegg-bin/show_pathway?hsa04110/hsa:5925%09red/hsa:7157%09red/hsa:1019%09red/hsa:4088%09red/hsa:7040%09red/hsa:4609%09red/hsa:1869%09red/hsa:1017%09red
@@Cell Cycle	Reactome	R-HSA-1640170	12	629	1.30366799168e-08	6.6149079578e-08	TP53|E2F1|PRKCA|TUBB4|PSMD1|RB1|PSMD2|AKT1|CDK2|MAPK1|CDK4|MYC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1640170
Oxidative Stress Induced Senescence	Reactome	R-HSA-2559580	8	124	4.543835823e-10	2.78214752068e-09	TP53|E2F1|IFNB1|MAPK14|MAPK3|MAPK1|CDK4|MAPK8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2559580
Antiviral mechanism by IFN-stimulated genes	Reactome	R-HSA-1169410	7	77	6.121388877e-10	3.72724567178e-09	IRF3|DDX58|STAT1|MX1|OAS1|MAPK3|ISG15	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1169410
Fc epsilon receptor (FCERI) signaling	Reactome	R-HSA-2454202	8	130	6.4784217482e-10	3.90129133847e-09	LAT2|PSMD1|PSMD2|MAPK3|MAPK1|NFKB1|MAPK8|MS4A1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2454202
G1/S Transition	Reactome	R-HSA-69206	8	130	6.4784217482e-10	3.90129133847e-09	E2F1|PSMD1|RB1|PSMD2|AKT1|CDK2|CDK4|MYC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69206
Infectious disease	Reactome	R-HSA-5663205	11	372	6.65172759876e-10	3.9665517483e-09	TGFB1|PABPN1|ARF1|PSMD1|PSMD2|CD4|ISG15|CCR5|SLC25A4|PPIA|LTF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5663205
T cell activation	PANTHER	P00053	7	78	6.65917446794e-10	3.9665517483e-09	AKT1|CD80|CD86|MAPK3|MAPK1|NFKB1|MAPK8	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00053
PTEN Regulation	Reactome	R-HSA-6807070	8	137	9.60455735804e-10	5.69005127806e-09	TP53|AKT1|STUB1|PSMD1|PSMD2|MAPK3|MAPK1|USP7	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6807070
Gastrin-CREB signalling pathway via PKC and MAPK	Reactome	R-HSA-881907	5	17	9.78011139679e-10	5.76290434994e-09	PRKCA|MAPK3|RPS6KA3|EGFR|MAPK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-881907
Death Receptor Signalling	Reactome	R-HSA-73887	8	140	1.1300823305e-09	6.62337023653e-09	FAS|BIRC3|TNF|ADAM17|NFKB1|MAPK8|MYD88|RHOA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73887
Toll Like Receptor 10 (TLR10) Cascade	Reactome	R-HSA-168142	7	85	1.16765144649e-09	6.73550518605e-09	RPS6KA3|MAPK14|MAPK3|MAPK1|NFKB1|MAPK8|MYD88	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168142
Toll Like Receptor 5 (TLR5) Cascade	Reactome	R-HSA-168176	7	85	1.16765144649e-09	6.73550518605e-09	RPS6KA3|MAPK14|MAPK3|MAPK1|NFKB1|MAPK8|MYD88	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168176
MyD88 cascade initiated on plasma membrane	Reactome	R-HSA-975871	7	85	1.16765144649e-09	6.73550518605e-09	RPS6KA3|MAPK14|MAPK3|MAPK1|NFKB1|MAPK8|MYD88	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-975871
p53 pathway feedback loops 2	PANTHER	P04398	6	46	1.45191029303e-09	8.33138052963e-09	TP53|RB1|MAPK14|AKT1|CDK2|MYC	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P04398
@@P53 pathway feedback loops 1	PANTHER	P04392	1	7	0.0167395451663	0.0255167475692	TP53	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P04392
Mitotic G1-G1/S phases	Reactome	R-HSA-453279	8	147	1.63002555477e-09	9.28166646386e-09	E2F1|PSMD1|RB1|PSMD2|AKT1|CDK2|CDK4|MYC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-453279
Signaling by ERBB2	Reactome	R-HSA-1227986	6	47	1.63445403971e-09	9.28166646386e-09	STUB1|EGFR|AKT1|PRKCA|RHOA|EGF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1227986
Cell Cycle, Mitotic	Reactome	R-HSA-69278	12	525	1.83284832907e-09	1.0354648292e-08	TP53|E2F1|PRKCA|TUBB4|PSMD1|RB1|PSMD2|AKT1|CDK2|MAPK1|CDK4|MYC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69278
Phagosome	KEGG PATHWAY	hsa04145	8	152	2.0952601441e-09	1.17660577226e-08	ITGB2|HLA-C|TUBB4|CD209|CD14|CTSL1|TLR4|MBL2	http://www.genome.jp/kegg-bin/show_pathway?hsa04145/hsa:30835%09red/hsa:3689%09red/hsa:4153%09red/hsa:1514%09red/hsa:7099%09red/hsa:10381%09red/hsa:3107%09red/hsa:929%09red
Transcriptional regulation by RUNX3	Reactome	R-HSA-8878159	7	93	2.10414900878e-09	1.17660577226e-08	TGFB1|TP53|PSMD1|SMAD3|RUNX3|MYC|PSMD2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8878159
RAF/MAP kinase cascade	Reactome	R-HSA-5673001	9	234	2.80127849902e-09	1.55084548061e-08	PSMD1|EGFR|KIT|MAPK3|IL5|IL2|MAPK1|PSMD2|EGF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5673001
Angiogenesis	PANTHER	P00005	8	158	2.8017099011e-09	1.55084548061e-08	STAT1|AKT1|PRKCA|MAPK14|MAPK3|MAPK1|MAPK8|RHOA	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00005
Signaling by PTK6	Reactome	R-HSA-8848021	6	52	2.85702484675e-09	1.56564961602e-08	EGFR|AKT1|CDK2|CDK4|RHOA|EGF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8848021
Signaling by Non-Receptor Tyrosine Kinases	Reactome	R-HSA-9006927	6	52	2.85702484675e-09	1.56564961602e-08	EGFR|AKT1|CDK2|CDK4|RHOA|EGF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9006927
Antigen processing-Cross presentation	Reactome	R-HSA-1236975	7	98	2.96598374163e-09	1.61727272678e-08	HLA-C|PSMD1|PSMD2|CD14|CTSL1|TLR4|MYD88	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1236975
S Phase	Reactome	R-HSA-69242	8	160	3.07902959087e-09	1.67060219386e-08	E2F1|PSMD1|RB1|PSMD2|AKT1|CDK2|CDK4|MYC	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69242
Progesterone-mediated oocyte maturation	KEGG PATHWAY	hsa04914	7	99	3.17019326749e-09	1.70320187312e-08	RPS6KA3|AKT1|MAPK14|MAPK3|CDK2|MAPK1|MAPK8	http://www.genome.jp/kegg-bin/show_pathway?hsa04914/hsa:5595%09red/hsa:5594%09red/hsa:6197%09red/hsa:1432%09red/hsa:5599%09red/hsa:207%09red/hsa:1017%09red
Choline metabolism in cancer	KEGG PATHWAY	hsa05231	7	99	3.17019326749e-09	1.70320187312e-08	AKT1|PRKCA|EGFR|MAPK3|MAPK1|MAPK8|EGF	http://www.genome.jp/kegg-bin/show_pathway?hsa05231/hsa:5578%09red/hsa:5595%09red/hsa:5594%09red/hsa:5599%09red/hsa:1950%09red/hsa:1956%09red/hsa:207%09red
TNFR2 non-canonical NF-kB pathway	Reactome	R-HSA-5668541	7	100	3.38622513732e-09	1.81039158561e-08	CD27|TRAF3|CD40LG|PSMD1|BIRC3|PSMD2|TNF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5668541
Diseases associated with the TLR signaling cascade	Reactome	R-HSA-5602358	5	24	4.35875050495e-09	2.30782152339e-08	TRAF3|NFKB1|CD14|MYD88|TLR4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5602358
Diseases of Immune System	Reactome	R-HSA-5260271	5	24	4.35875050495e-09	2.30782152339e-08	TRAF3|NFKB1|CD14|MYD88|TLR4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5260271
Interleukin-12 family signaling	Reactome	R-HSA-447115	6	57	4.75509682304e-09	2.50557024906e-08	STAT1|SOD1|IL10|ARF1|IFNG|PPIA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-447115
Alzheimer disease	KEGG PATHWAY	hsa05010	8	171	5.06986302414e-09	2.65864587295e-08	FAS|CYCS|ADAM10|MAPK3|TNF|ADAM17|MAPK1|IL1B	http://www.genome.jp/kegg-bin/show_pathway?hsa05010/hsa:3553%09red/hsa:5594%09red/hsa:7124%09red/hsa:54205%09red/hsa:5595%09red/hsa:6868%09red/hsa:102%09red/hsa:355%09red
VEGF signaling pathway	KEGG PATHWAY	hsa04370	6	59	5.76080115658e-09	3.00658955601e-08	PTGS2|MAPK3|PRKCA|MAPK14|AKT1|MAPK1	http://www.genome.jp/kegg-bin/show_pathway?hsa04370/hsa:5578%09red/hsa:5595%09red/hsa:5594%09red/hsa:5743%09red/hsa:1432%09red/hsa:207%09red
@@VEGF signaling pathway	PANTHER	P00056	5	62	3.32525746204e-07	1.40172391477e-06	MAPK14|MAPK3|MAPK1|PRKCA|AKT1	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00056
RUNX3 regulates CDKN1A transcription	Reactome	R-HSA-8941855	4	7	6.12074335847e-09	3.17930555492e-08	TGFB1|SMAD3|TP53|RUNX3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8941855
MAP kinase activation	Reactome	R-HSA-450294	6	64	9.06650974517e-09	4.68721447203e-08	RPS6KA3|MAPK14|MAPK3|MAPK1|NFKB1|MAPK8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-450294
Interleukin-1 processing	Reactome	R-HSA-448706	4	8	9.16615839799e-09	4.71648338225e-08	IL18|IL1A|IL1B|NFKB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-448706
Thyroid hormone signaling pathway	KEGG PATHWAY	hsa04919	7	119	1.06086560887e-08	5.43321825851e-08	TP53|STAT1|AKT1|PRKCA|MAPK3|MAPK1|MYC	http://www.genome.jp/kegg-bin/show_pathway?hsa04919/hsa:5578%09red/hsa:5595%09red/hsa:5594%09red/hsa:6772%09red/hsa:7157%09red/hsa:4609%09red/hsa:207%09red
Activation of BH3-only proteins	Reactome	R-HSA-114452	5	30	1.17955040888e-08	6.01296394481e-08	AKT1|MAPK8|TP53|E2F1|BCL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-114452
MAPK targets/ Nuclear events mediated by MAP kinases	Reactome	R-HSA-450282	5	31	1.36749761283e-08	6.90680821961e-08	MAPK14|MAPK3|MAPK8|RPS6KA3|MAPK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-450282
ISG15 antiviral mechanism	Reactome	R-HSA-1169408	6	69	1.38048878397e-08	6.94043902398e-08	IRF3|DDX58|STAT1|MX1|MAPK3|ISG15	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1169408
PDGF signaling pathway	PANTHER	P00047	7	124	1.39013768481e-08	6.95703608472e-08	RPS6KA3|STAT1|PRKCA|MAPK3|MAPK1|MYC|MAPK8	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00047
Autophagy - animal	KEGG PATHWAY	hsa04140	7	128	1.71243461491e-08	8.53103789975e-08	BCL2L1|AKT1|MAPK3|MAPK1|CTSL1|MAPK8|BCL2	http://www.genome.jp/kegg-bin/show_pathway?hsa04140/hsa:5595%09red/hsa:5594%09red/hsa:1514%09red/hsa:596%09red/hsa:598%09red/hsa:5599%09red/hsa:207%09red
Activation of the AP-1 family of transcription factors	Reactome	R-HSA-450341	4	10	1.84756704801e-08	9.16259495303e-08	MAPK14|MAPK3|MAPK8|MAPK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-450341
Extracellular matrix organization	Reactome	R-HSA-1474244	9	298	2.11878230161e-08	1.04602946061e-07	TGFB1|ITGB2|PRKCA|CD44|ADAM10|ICAM3|ICAM1|ADAM17|CTSL1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1474244
Systemic lupus erythematosus	KEGG PATHWAY	hsa05322	7	133	2.20241194181e-08	1.08244102611e-07	CD40LG|IL10|CD80|CD40|CD86|IFNG|TNF	http://www.genome.jp/kegg-bin/show_pathway?hsa05322/hsa:3458%09red/hsa:941%09red/hsa:942%09red/hsa:7124%09red/hsa:959%09red/hsa:958%09red/hsa:3586%09red
Extra-nuclear estrogen signaling	Reactome	R-HSA-9009391	6	76	2.37201112781e-08	1.16059115897e-07	AKT1|EGFR|MAPK3|MAPK1|EGF|BCL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9009391
Antigen processing and presentation	KEGG PATHWAY	hsa04612	6	77	2.55246314627e-08	1.24333315925e-07	IFNG|HSPA8|CD4|HLA-C|TNF|CTSL1	http://www.genome.jp/kegg-bin/show_pathway?hsa04612/hsa:3458%09red/hsa:1514%09red/hsa:7124%09red/hsa:3312%09red/hsa:920%09red/hsa:3107%09red
Estrogen signaling pathway	KEGG PATHWAY	hsa04915	7	138	2.80626545885e-08	1.3609145765e-07	AKT1|HSPA8|EGFR|HSP90B1|MAPK3|MAPK1|BCL2	http://www.genome.jp/kegg-bin/show_pathway?hsa04915/hsa:5595%09red/hsa:5594%09red/hsa:596%09red/hsa:3312%09red/hsa:1956%09red/hsa:207%09red/hsa:7184%09red
Primary immunodeficiency	KEGG PATHWAY	hsa05340	5	37	3.05471461006e-08	1.46840667221e-07	CD4|IL7R|CD40LG|CD40|CD79A	http://www.genome.jp/kegg-bin/show_pathway?hsa05340/hsa:920%09red/hsa:959%09red/hsa:973%09red/hsa:3575%09red/hsa:958%09red
Thyroid cancer	KEGG PATHWAY	hsa05216	5	37	3.05471461006e-08	1.46840667221e-07	MAPK3|MYC|MAPK1|TP53|BAX	http://www.genome.jp/kegg-bin/show_pathway?hsa05216/hsa:4609%09red/hsa:5595%09red/hsa:5594%09red/hsa:581%09red/hsa:7157%09red
Ub-specific processing proteases	Reactome	R-HSA-5689880	8	219	3.22620468731e-08	1.54407001628e-07	DDX58|USP7|BIRC3|PSMD1|SMAD3|TP53|MYC|PSMD2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5689880
Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation	Reactome	R-HSA-8950505	5	38	3.45084090877e-08	1.63728209351e-07	IL10|IFNG|ARF1|PPIA|SOD1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8950505
Ovarian tumor domain proteases	Reactome	R-HSA-5689896	5	38	3.45084090877e-08	1.63728209351e-07	DDX58|MAVS|TP53|RHOA|TRAF3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5689896
ER-Phagosome pathway	Reactome	R-HSA-1236974	6	82	3.63349619794e-08	1.7165137211e-07	HLA-C|PSMD1|PSMD2|CD14|TLR4|MYD88	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1236974
Regulation of mRNA stability by proteins that bind AU-rich elements	Reactome	R-HSA-450531	6	86	4.74825171781e-08	2.23351239602e-07	PRKCA|HSPA8|PSMD1|PSMD2|MAPK14|AKT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-450531
Parkinson disease	PANTHER	P00049	6	88	5.40323342007e-08	2.50929823237e-07	STUB1|HSPA8|MAPK14|MAPK3|MAPK1|MAPK8	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00049
@@Parkinson disease	KEGG PATHWAY	hsa05012	2	142	0.0373578907167	0.049035027815	CYCS|SLC25A4	http://www.genome.jp/kegg-bin/show_pathway?hsa05012/hsa:291%09red/hsa:54205%09red
Gap junction	KEGG PATHWAY	hsa04540	6	88	5.40323342007e-08	2.50929823237e-07	PRKCA|TUBB4|EGFR|MAPK3|MAPK1|EGF	http://www.genome.jp/kegg-bin/show_pathway?hsa04540/hsa:5578%09red/hsa:5595%09red/hsa:5594%09red/hsa:1950%09red/hsa:10381%09red/hsa:1956%09red
PI3K/AKT Signaling in Cancer	Reactome	R-HSA-2219528	6	88	5.40323342007e-08	2.50929823237e-07	CD80|EGFR|KIT|AKT1|CD86|EGF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2219528
